11,株式会社ヤマダ電機,まずは短期アルバイトからスタート★冬の短期スタッフ急募！,◆【期間限定の短期バイト】◆ ￥r ￥n店舗にて売場への商品品出し、商品整理、ポーター ￥r ￥nレジ･会計業務を行って頂きます。 ￥r ￥n難しいお仕事ではないので、未経験の方も大歓迎★ ￥r ￥n先輩が丁寧に教えてくれるので安心して働けます！ ￥r ￥n ￥r ￥n■具体的なお仕事内容■ ￥r ￥n▼【品出し･商品補充業務】 ￥r ￥n家電小物などの商品補充など ￥r ￥n「この商品少なくなっているから電池コーナーにお願いします!」 ￥r ￥nという感じに専門スタッフが指示しますので ￥r ￥n店頭への商品の品出しをお願いします。 ￥r ￥n ￥r ￥n▼【ポーター】 ￥r ￥nお客様がお買い上げいただいた商品を ￥r ￥nお車などまで運んで頂きます。 ￥r ￥n ￥r ￥n▼【レジ】 ￥r ￥nバーコードで「ピッ」とする簡単なお仕事 ￥r ￥n家電製品の知識がなくてもOK！,1日3～6時間、週3日程度(勤務曜日と時間は面接時要相談)
12,株式会社ヤマダ電機,冬の短期アルバイト追加募集！お仕事はカンタンです！！,◆【期間限定の短期バイト】◆ ￥r ￥n店舗にて売場への商品品出し、商品整理、ポーター ￥r ￥nレジ･会計業務を行って頂きます。 ￥r ￥n難しいお仕事ではないので、未経験の方も大歓迎★ ￥r ￥n先輩が丁寧に教えてくれるので安心して働けます！ ￥r ￥n ￥r ￥n■具体的なお仕事内容■ ￥r ￥n▼【品出し･商品補充業務】 ￥r ￥n家電小物などの商品補充など ￥r ￥n「この商品少なくなっているから電池コーナーにお願いします!」 ￥r ￥nという感じに専門スタッフが指示しますので ￥r ￥n店頭への商品の品出しをお願いします。 ￥r ￥n ￥r ￥n▼【ポーター】 ￥r ￥nお客様がお買い上げいただいた商品を ￥r ￥nお車などまで運んで頂きます。 ￥r ￥n ￥r ￥n▼【レジ】 ￥r ￥nバーコードで「ピッ」とする簡単なお仕事 ￥r ￥n家電製品の知識がなくてもOK！,1日3～6時間、週3日程度(勤務曜日と時間は面接時要相談)
13,株式会社ヤマダ電機,冬の短期アルバイト追加募集！お仕事はカンタンです！！,◆【期間限定の短期バイト】◆ ￥r ￥n店舗にて売場への商品品出し、商品整理、ポーター ￥r ￥nレジ･会計業務を行って頂きます。 ￥r ￥n難しいお仕事ではないので、未経験の方も大歓迎★ ￥r ￥n先輩が丁寧に教えてくれるので安心して働けます！ ￥r ￥n ￥r ￥n■具体的なお仕事内容■ ￥r ￥n▼【品出し･商品補充業務】 ￥r ￥n家電小物などの商品補充など ￥r ￥n「この商品少なくなっているから電池コーナーにお願いします!」 ￥r ￥nという感じに専門スタッフが指示しますので ￥r ￥n店頭への商品の品出しをお願いします。 ￥r ￥n ￥r ￥n▼【ポーター】 ￥r ￥nお客様がお買い上げいただいた商品を ￥r ￥nお車などまで運んで頂きます。 ￥r ￥n ￥r ￥n▼【レジ】 ￥r ￥nバーコードで「ピッ」とする簡単なお仕事 ￥r ￥n家電製品の知識がなくてもOK！,"10：00～22：30 
(平日) 
10：00～22：00 
(土日祝)
1日3～6時間、週3日程度(勤務曜日と時間は面接時要相談)"
14,東宝総合警備保障株式会社,こんな条件出すの初めて！MAX日給2、5000円◆年末短期,★>>>>緊急招集<<<<★ ￥r ￥n ￥r ￥n ￥r ￥n年末家でゴロゴロ予定の皆様…。 ￥r ￥n ￥r ￥n実質2日働くダケで【7万円以上】稼げる仕事 ￥r ￥n ￥r ￥n知りたくないですか？ ￥r ￥n ￥r ￥n ￥r ￥n★>>>>任務内容<<<<★ ￥r ￥n ￥r ￥n ￥r ￥n■車両誘導 ￥r ￥n■駐車場警備 ￥r ￥n ￥r ￥n大晦日やお正月のお買いもので ￥r ￥nスーパーにはたくさんのお客様がやってきます。 ￥r ￥n ￥r ￥n各自持ち場について、 ￥r ￥nお客様の車を駐車場まで ￥r ￥nご案内していただく任務となります！ ￥r ￥n ￥r ￥n事前の研修はもちろん ￥r ￥n各店20～30名体制なので ￥r ￥n未経験の方でも安心スタート◎ ￥r ￥n ￥r ￥n例年人気のお仕事となりますので ￥r ￥nお早めにご応募ください♪♪ ￥r ￥n ￥r ￥n ￥r ￥n★>>>>>>★<<<<<<★,"現場・日程により異なります。
その他にもシフトあり！"
15,株式会社日本ワーク・センター,★3/31までの短期★未経験でも⇒高時給1800円♪お給料月2回払OK,*:;:*:;:*:;:*:;:*:;:*:;:*:;:*:;:* ￥r ￥n ￥r ￥n3月末までの短期！ ￥r ￥n未経験歓迎の訪問＆事務WORK☆ ￥r ￥n ￥r ￥n*:;:*:;:*:;:*:;:*:;:*:;:*:;:*:;:* ￥r ￥n ￥r ￥n▼ 具体的には… ▼ ￥r ￥n ￥r ￥n池袋周辺のテレビ放送受信契約者のお客様を訪問し、 ￥r ￥n口座振替やクレジット継続払いへの変更手続きと ￥r ￥n未払分受信料の集金をお願いします。 ￥r ￥n ￥r ￥nその他、訪問の結果を日次・週次の報告書にまとめる ￥r ￥n事務のお仕事もお任せします。 ￥r ￥n ￥r ￥n＼ メリットいっぱい！ ／ ￥r ￥n ￥r ￥n◆その1 ￥r ￥n3月31日までの期間限定短期WORK！ ￥r ￥n高時給でたっぷり稼げます♪ ￥r ￥n ￥r ￥n◆その2 ￥r ￥nお給料は月2回払いOK！ ￥r ￥n急な出費があっても安心です◎ ￥r ￥n ￥r ￥n◆その3 ￥r ￥n未経験歓迎！ ￥r ￥n難しいことはないのですぐに慣れていただけますよ☆,"※水～金

09:30～18:00
※土日祝

◇休憩1時間
◇水・木・金・土・日の週5日勤務"
16,株式会社ネオキャリア ～Neo career～,[単発1日＆日払い]学生歓迎♪1日3h～OK!データ入力や電話受付etc,12月はx'masに年末年始… ￥r ￥nイベント行事いっぱい！ ￥r ￥n急なお金のピンチにも助かる ￥r ￥n日払いのオフィスバイトをご紹介★ ￥r ￥n ￥r ￥n≪12月のオススメのお仕事≫ ￥r ￥n[受信]引越しした際の、電気の利用開始の受付 ￥r ￥n[受信]鉄道の時刻、料金、乗り換えの問合せ対応 ￥r ￥n[事務]官公庁で電話対応、データ入力など ￥r ￥n[発信]人気コスメ！定期購入のご案内 ￥r ￥n[受信]お食事サービスの注文受付 ￥r ￥n[受信]人気コスメ通販の通販受注 ￥r ￥n[入力]チケット予約の入力と受付 ￥r ￥n[作業]キャンペーンハガキの仕分け・チェック・入力 ￥r ￥n[作業]スマホアプリやカメラなどのコツコツ動作チェック ￥r ￥n ￥r ￥nなど随時100以上のお仕事から ￥r ￥nオフィスワークが選べちゃう♪ ￥r ￥n ￥r ￥n★髪型、服装、ネイルも自由!!,"（シフト制）
※他、深夜帯もあり
【時間例】
9:00-/10:00-/11:00-/12:00-（実働7～8h/休憩1h）
AM～/PM～の午前だけ、夕方からetc.時短3～4h（休憩なし）

―◆他、シフト例◆―
◇ＷワークOK！ 13-21時/18-21時など
◇週1だけ勤務
◇月～金の週5日勤務/土日祝休み
◇土日を含めた週2、3日～のシフト制勤務
◇1日3～4h程度の時短シフト
※時間・曜日はお気軽にご相談下さい"
17,日研トータルソーシング株式会社（メディカルケア事業部）,ここもダメ、あそこもダメ。転職回数が多いのは、弱さじゃない,●シーツ交換 ￥r ￥n●お部屋のお掃除 ￥r ￥n●食事の準備 ￥r ￥n●入居者様とレク ￥r ￥nなど始めやすい内容からお任せします。 ￥r ￥n ￥r ￥n社会人経験や資格は ￥r ￥n一切必要ありません。 ￥r ￥n ￥r ￥nまずはシーツ交換やお掃除など ￥r ￥nできそうなものから挑戦していきましょう。,"16:30～09:30
※週20ｈ～勤務が可能です。
※週3～OK！

上記は勤務時間の一例です。
「日勤（夜勤）のみがいい」
「17時までに退社したい」
「残業なしの職場がいい」
などご希望相談下さい◎

"
18,日研トータルソーシング株式会社（メディカルケア事業部）,ここは合わない、あそこもだめ、でもこの職場は自分に合いました,日研メディカルケアで働く人は ￥r ￥n96%がここで働けてよかったと答えています。 ￥r ￥n ￥r ￥nその理由は、 ￥r ￥n ￥r ￥n-施設長がどんな人なのか ￥r ￥n ￥r ￥n-上司や同僚には ￥r ￥nどんなタイプの人がいるのか ￥r ￥n ￥r ￥n求人情報ではわからないことを ￥r ￥nしっかりと把握した上でご紹介しているから。 ￥r ￥n ￥r ￥nなので ￥r ￥n●利用者さんとのコミュニケーションを ￥r ￥n充実させている施設が良い ￥r ￥n ￥r ￥n●シーツ替え、食事サポートなど ￥r ￥n家事の延長線上の内容から頑張っていきたい ￥r ￥n ￥r ￥n●未経験でもイチから教えてくれる環境がいい ￥r ￥n ￥r ￥nなどあなたのイメージにぴったりと合う ￥r ￥n職場をご紹介できます。 ￥r ￥n ￥r ￥n「職場環境は重視するタイプだ」 ￥r ￥nという方、当社と一緒に ￥r ￥n理想の職場を探していきませんか？,"16:30～09:30
※上記はシフト例です！
※週20h～から勤務が可能です！

◆週3日～OK！（曜日応相談）
◆週5日勤務できる方大歓迎！（社員として勤務も可能です！）

上記は勤務時間の一例です。
「日勤（夜勤）のみがいい」
「17時までに退社したい」
「残業なしの職場がいい」
「週5で稼ぎたい」
などご希望、ご相談下さい！"
19,日研トータルソーシング株式会社（メディカルケア事業部）,天気のいい日は一緒にお散歩♪これも仕事の1つ！未経験OK,＜仕事内容＞ ￥r ￥n老人ホーム、グループホーム、 ￥r ￥nデイサービス、病院などで ￥r ￥n ￥r ￥n◆身の回りのお手伝いや、 ￥r ￥n◆洗濯物を干したり、 ￥r ￥n◆ごはんの用意をしたり、 ￥r ￥n◆夜の見守りをしたり、 ￥r ￥n◆レクリエーションをしたり、 ￥r ￥n ￥r ￥n日常生活のサポートがメインです！ ￥r ￥n ￥r ￥n■未経験OK！ ￥r ￥n介護系のお仕事は、日研が初めて。 ￥r ￥nもちろん資格も持っていませんでした。 ￥r ￥n ￥r ￥nそんな方が大勢 ￥r ￥n活躍してくださっています。,"16:30～09:30
※週20ｈ～勤務が可能です。
※週3～OK！

上記は勤務時間の一例です。
「日勤（夜勤）のみがいい」
「17時までに退社したい」
「残業なしの職場がいい」
などご希望相談下さい◎

"
20,日研トータルソーシング株式会社（メディカルケア事業部）,おばあちゃんの昔話を聞いたりと、初めてでもできるお仕事です。,●入居者様とレク ￥r ￥n●シーツ交換 ￥r ￥n●お部屋のお掃除 ￥r ￥n●食事の準備 ￥r ￥nなど始めやすい内容からお任せします。,"16:30～09:30
◆週20h～勤務が可能です。
◆週3日～OK！

【シフト調整可能】
上記は勤務時間の一例です。
「日勤（夜勤）のみがいい」
「17時までに退社したい」
「残業なしの職場がいい」
などご希望相談下さい◎"
